source_uid,episodios,hotspots,nombre,etiqueta,estado,operador,clasificacion,tipo_contrato,subtipo,proceso,leyenda,url_minuta,area_ha
0554,65,310,NO APLICA,Contrato 0554 · MAUREL AND PROM COLOMBIA B.V. · Exploración,EXPLORACION,MAUREL AND PROM COLOMBIA B.V.,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),MADURA,RONDA COLOMBIA 2021,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2896/CONTRATO_EP_VSM_4_21-ENE-22.pdf,97001.1610285174
0039,35,113,NO APLICA,Contrato 0039 · FRONTERA ENERGY COLOMBIA CORP. · Producción,PRODUCCION,FRONTERA ENERGY COLOMBIA CORP.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13624/BUGANVILES_ASOCIACION_CON_ECOPETROL_180900.pdf,31445.74110396656
0038,20,85,NO APLICA,Contrato 0038 · LAS QUINCHAS RESOURCES CORP · Producción,PRODUCCION,LAS QUINCHAS RESOURCES CORP,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13623/CHIPALO_ASOCIACION_CON_ECOPETROL_280298.pdf,25772.35735184659
0042,17,83,NO APLICA,Contrato 0042 · ECOPETROL S.A. · Producción,PRODUCCION,ECOPETROL S.A.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13627/DOIMA_ASOCIACION_CON_ECOPETROL_160201.pdf,31351.02420811022
0115,10,41,NO APLICA,Contrato 0115 · VAROSA ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADAS · Exploración,EXPLORACION,VAROSA ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADAS,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,CONTRATACION DIRECTA,AREA EN EXPLORACION,https://www.anh.gov.co/documents/13697/LA_POLA_EXPLORACION_Y_PRODUCCION_171006.pdf,9651.413134618146
0723,10,21,NO APLICA,Contrato 0723 · PAREX RESOURCES (COLOMBIA) AG · Exploración,EXPLORACION,PAREX RESOURCES (COLOMBIA) AG,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),EMERGENTE,PPAA 2019 CICLO 1,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2939/CONTRATO_VSM_25_2019_PPAA.pdf,27592.25324714509
0034,8,10,NO APLICA,Contrato 0034 · FRONTERA ENERGY COLOMBIA CORP. · Producción,PRODUCCION,FRONTERA ENERGY COLOMBIA CORP.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13619/ABANICO_ASOCIACION_CON_ECOPETROL_120896.pdf,22861.47777942495
0147,7,52,ORTEGA,Contrato 0147 · ORTEGA · HOCOL S.A. · Producción,PRODUCCION,HOCOL S.A.,ASIGNADA,CONVENIO DE EXPLOTACION,NO APLICA,CONTRATACION DIRECTA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13723/ORTEGA_CONVENIO_DE_EXPLOTACION_111007.pdf,6363.989321634646
0224,6,32,NO APLICA,Contrato 0224 · MORICHAL SINOCO · Exploración,EXPLORACION,MORICHAL SINOCO,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,MINIRONDA 2008,AREA EN EXPLORACION,https://www.anh.gov.co/documents/4406/CTO_EyP_VMM_17__2009.pdf,37015.335396675786
0254,5,16,NO APLICA,Contrato 0254 · TELPICO COLOMBIA LLC · Exploración,EXPLORACION,TELPICO COLOMBIA LLC,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),TIPO 1,OPEN ROUND 2010,AREA EN EXPLORACION,https://www.anh.gov.co/documents/13770/VSM_3_EXPLORACION_Y_PRODUCCION_100311.pdf,28262.016278862782
0159,4,44,TOLDADO,Contrato 0159 · TOLDADO · HOCOL S.A. · Producción,PRODUCCION,HOCOL S.A.,ASIGNADA,CONVENIO DE EXPLOTACION,NO APLICA,CONTRATACION DIRECTA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13734/TOLDADO_CONVENIO_DE_EXPLOTACION_111007.pdf,1792.3626834174092
0704,3,5,NO APLICA,Contrato 0704 · HOCOL S.A. · Exploración,EXPLORACION,HOCOL S.A.,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),MADURA,PPAA 2019 CICLO 1,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2933/CONTRATO_EYP_COR_9_2019_PPAA.pdf,12652.239930016553
0017,2,4,NO APLICA,Contrato 0017 · ECOPETROL S.A. · Producción,PRODUCCION,ECOPETROL S.A.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13602/SAN_LUIS_ASOCIACION_CON_ECOPETROL_281085.pdf,3172.469509131646
0785,2,3,NO APLICA,Contrato 0785 · PAREX RESOURCES (COLOMBIA) AG · Exploración,EXPLORACION,PAREX RESOURCES (COLOMBIA) AG,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),MADURA,PPAA 2019 PRIMER CORTE,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2930/CONTRATO_EP_VSM_36_2019_PPAA.pdf,59960.35376159598
0212,1,7,NO APLICA,Contrato 0212 · LOH ENERGY · Exploración,EXPLORACION,LOH ENERGY,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,MINIRONDA 2008,AREA EN EXPLORACION,https://www.anh.gov.co/documents/4405/CTO_EyP_VMM_15__2009.pdf,3638.3829322343176
