source_uid,episodios,hotspots,nombre,etiqueta,estado,operador,clasificacion,tipo_contrato,subtipo,proceso,leyenda,url_minuta,area_ha
0554,65,310,NO APLICA,Contrato 0554 · MAUREL AND PROM COLOMBIA B.V. · Exploración,EXPLORACION,MAUREL AND PROM COLOMBIA B.V.,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),MADURA,RONDA COLOMBIA 2021,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2896/CONTRATO_EP_VSM_4_21-ENE-22.pdf,97001.1610285174
0115,10,41,NO APLICA,Contrato 0115 · VAROSA ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADAS · Exploración,EXPLORACION,VAROSA ENERGY SOCIEDAD POR ACCIONES SIMPLIFICADAS,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,CONTRATACION DIRECTA,AREA EN EXPLORACION,https://www.anh.gov.co/documents/13697/LA_POLA_EXPLORACION_Y_PRODUCCION_171006.pdf,9651.413134618146
0723,10,21,NO APLICA,Contrato 0723 · PAREX RESOURCES (COLOMBIA) AG · Exploración,EXPLORACION,PAREX RESOURCES (COLOMBIA) AG,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),EMERGENTE,PPAA 2019 CICLO 1,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2939/CONTRATO_VSM_25_2019_PPAA.pdf,27592.25324714509
0224,6,32,NO APLICA,Contrato 0224 · MORICHAL SINOCO · Exploración,EXPLORACION,MORICHAL SINOCO,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,MINIRONDA 2008,AREA EN EXPLORACION,https://www.anh.gov.co/documents/4406/CTO_EyP_VMM_17__2009.pdf,37015.335396675786
0254,5,16,NO APLICA,Contrato 0254 · TELPICO COLOMBIA LLC · Exploración,EXPLORACION,TELPICO COLOMBIA LLC,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),TIPO 1,OPEN ROUND 2010,AREA EN EXPLORACION,https://www.anh.gov.co/documents/13770/VSM_3_EXPLORACION_Y_PRODUCCION_100311.pdf,28262.016278862782
0704,3,5,NO APLICA,Contrato 0704 · HOCOL S.A. · Exploración,EXPLORACION,HOCOL S.A.,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),MADURA,PPAA 2019 CICLO 1,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2933/CONTRATO_EYP_COR_9_2019_PPAA.pdf,12652.239930016553
0785,2,3,NO APLICA,Contrato 0785 · PAREX RESOURCES (COLOMBIA) AG · Exploración,EXPLORACION,PAREX RESOURCES (COLOMBIA) AG,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),MADURA,PPAA 2019 PRIMER CORTE,AREA EN EXPLORACION,https://www.anh.gov.co/documents/2930/CONTRATO_EP_VSM_36_2019_PPAA.pdf,59960.35376159598
0212,1,7,NO APLICA,Contrato 0212 · LOH ENERGY · Exploración,EXPLORACION,LOH ENERGY,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,MINIRONDA 2008,AREA EN EXPLORACION,https://www.anh.gov.co/documents/4405/CTO_EyP_VMM_15__2009.pdf,3638.3829322343176
0044,1,1,NO APLICA,Contrato 0044 · HOCOL S.A. · Exploración,EXPLORACION,HOCOL S.A.,ASIGNADA,CONVENIO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,NO APLICA,AREA EN EXPLORACION,https://www.anh.gov.co/documents/25275/RIO_MAGDALENA_CONVENIO_DE_EXPLORACION_Y_PRODUCCION_300724.pdf,7439.036976708484
0214,1,1,NO APLICA,Contrato 0214 · YPF COLOMBIA S.A.S · Exploración,EXPLORACION,YPF COLOMBIA S.A.S,ASIGNADA,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),NO APLICA,MINIRONDA 2008,AREA EN EXPLORACION,https://www.anh.gov.co/documents/4358/CTO_EyP_COR_12__2009.pdf,47015.2491936122
