source_uid,episodios,hotspots,nombre,etiqueta,estado,operador,clasificacion,tipo_contrato,subtipo,proceso,leyenda,url_minuta,area_ha
0039,35,113,NO APLICA,Contrato 0039 · FRONTERA ENERGY COLOMBIA CORP. · Producción,PRODUCCION,FRONTERA ENERGY COLOMBIA CORP.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13624/BUGANVILES_ASOCIACION_CON_ECOPETROL_180900.pdf,31445.74110396656
0038,20,85,NO APLICA,Contrato 0038 · LAS QUINCHAS RESOURCES CORP · Producción,PRODUCCION,LAS QUINCHAS RESOURCES CORP,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13623/CHIPALO_ASOCIACION_CON_ECOPETROL_280298.pdf,25772.35735184659
0042,17,83,NO APLICA,Contrato 0042 · ECOPETROL S.A. · Producción,PRODUCCION,ECOPETROL S.A.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13627/DOIMA_ASOCIACION_CON_ECOPETROL_160201.pdf,31351.02420811022
0034,8,10,NO APLICA,Contrato 0034 · FRONTERA ENERGY COLOMBIA CORP. · Producción,PRODUCCION,FRONTERA ENERGY COLOMBIA CORP.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13619/ABANICO_ASOCIACION_CON_ECOPETROL_120896.pdf,22861.47777942495
0147,7,52,ORTEGA,Contrato 0147 · ORTEGA · HOCOL S.A. · Producción,PRODUCCION,HOCOL S.A.,ASIGNADA,CONVENIO DE EXPLOTACION,NO APLICA,CONTRATACION DIRECTA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13723/ORTEGA_CONVENIO_DE_EXPLOTACION_111007.pdf,6363.989321634646
0159,4,44,TOLDADO,Contrato 0159 · TOLDADO · HOCOL S.A. · Producción,PRODUCCION,HOCOL S.A.,ASIGNADA,CONVENIO DE EXPLOTACION,NO APLICA,CONTRATACION DIRECTA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13734/TOLDADO_CONVENIO_DE_EXPLOTACION_111007.pdf,1792.3626834174092
0017,2,4,NO APLICA,Contrato 0017 · ECOPETROL S.A. · Producción,PRODUCCION,ECOPETROL S.A.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13602/SAN_LUIS_ASOCIACION_CON_ECOPETROL_281085.pdf,3172.469509131646
0056,1,3,NO APLICA,Contrato 0056 · INTEROIL COLOMBIA EXPLORATION AND PRODUCTION · Producción,PRODUCCION,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13641/MANA_ASOCIACION_CON_ECOPETROL_121103.pdf,5012.099196731394
0020,1,1,NO APLICA,Contrato 0020 · ECOPETROL S.A. · Producción,PRODUCCION,ECOPETROL S.A.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13605/CHAPARRAL_ASOCIACION_CON_ECOPETROL_051087.pdf,5651.348857412954
0030,1,1,NO APLICA,Contrato 0030 · HOCOL S.A. · Producción,PRODUCCION,HOCOL S.A.,ASIGNADA,CONTRATO DE ASOCIACION CON ECOPETROL,NO APLICA,NO APLICA,AREA EN PRODUCCION,https://www.anh.gov.co/documents/13615/BOQUERON_ASOCIACION_CON_ECOPETROL_011095.pdf,14683.57474753719
