source_uid,source_name,episodios_hasta_5km,hotspots_relacionados,distancia_min_m,distancia_max_m,provincia_geologica,fecha_consulta
CALM0001,CALARMA-1,16,63,1539.4910922441024,4990.163930135171,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
SSSS0004,S-4 (STRAT XD-4),10,51,577.175990022836,4900.695497072705,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
VENR0001,VENTARRON-1,9,12,557.0497149837566,4004.595019561411,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
SAPO0001ST,EL SAPO-1ST,9,36,662.158622051018,4917.503009258909,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
TOMO0001,TOMOGO-1,8,34,121.5226051307882,4583.982683684762,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
CHLP0001,CHILAPI-1,8,64,1012.0615533454396,4954.456289101744,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
AMBA0001,AMBALEMA-1,8,35,1177.5979319475716,4518.429624276454,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
LSIM0001,LA SIMA-1,8,42,1332.4788661450343,4276.681204621806,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
9788,MARANON-2,7,10,300.7245925596964,2646.816011589534,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ARME0001,ARMERO-1,7,23,567.7250078786071,4914.830037617052,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
GUAL0001,GUALANDAY-1,7,17,1226.5071458401144,4894.401148652932,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ESPI0001,ESPINAL-1,7,12,1752.892714493069,4889.936867559891,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
TOLI0001,TOLIMA-1,7,12,3320.1815145530627,4916.365271448236,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
SATA0001,SANTANA-1,5,7,404.2810058231257,2609.417344674573,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
TOLD0002,TOLDADO-2,4,15,83.03417432987526,1658.7525804132115,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ORTE0008A,ORTEGA-8A,4,55,86.37929436215147,4821.762151713783,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
DPED0001,DON PEDRO-1,4,27,145.48353840048944,3649.8952324355378,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
BORE0001,BOREAL-1,4,9,343.4307427706494,1339.3471165677065,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
TOTA0005,TOTARE-5,4,21,1319.8919227316471,3709.152103536933,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
COEL0001,COELLO-1,4,62,1772.8695534890328,4997.518224465437,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
EAGL0001,EAGLE I-1,4,15,1865.9804884180155,4389.455822613281,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
BALN0001,BALCANES-1,4,6,1904.6226693850604,3320.348687997497,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
9547,ABANICO-3 ST,4,12,2523.0679637626845,4617.272317899481,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ZION0001,ZION-1,3,28,153.42043535508893,2379.716293110221,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
TOLD0008,TOLDADO-8,3,26,176.08013621291036,1973.733945763292,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ARME0002,ARMERO-2,3,13,649.7764212269759,3318.026202714082,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
ALFA0001,ALFA-1,3,12,1388.073357787535,4961.967312735739,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
RECI0002,RECIO-2,3,18,2283.247149649113,3888.530567480034,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
PALB0001,PALOBAYO-1,3,3,2541.783208535917,2718.6774303007765,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
DALI0001STG1,DALIA-1 STG1,3,19,2624.065147096727,4813.001437365874,CORDILLERA-ORIENTAL,2026-07-21 00:00:00
CSI1000007,AICO-1,3,7,3066.367625282797,4813.010724387031,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
SSSS0001,S-1 (STRAT XS-1),3,6,3466.5859686285057,4453.191479540399,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
ALEL0001,ALELI-1,3,17,4073.274224943694,4981.862196666739,CORDILLERA-ORIENTAL,2026-07-21 00:00:00
TOLD0001,TOLDADO-1,2,2,223.49987394425244,272.7642696933485,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
QUIM0002,QUIMBAYA-2,2,7,357.2118438622099,4606.147406049268,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
DPN0001CPI,DON PEDRO NORTE CPI-1,2,14,432.19334347570015,3761.894616613358,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
LUMB0001A,LUMBI-1A,2,12,527.517114855389,3181.9388292190733,VALLE MEDIO DEL MAGDALENA,2026-07-21 00:00:00
CSI1000045,CHACA-1,2,2,527.6874097364679,2337.9865703634023,VALLE SUPERIOR DEL MAGDALENA,2026-07-21 00:00:00
