agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Ortega,40,21.3903743315508,9.7799511002445
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,San Luis,32,17.112299465240643,7.823960880195599
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Guamo,23,12.29946524064171,5.623471882640587
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Coello,20,10.6951871657754,4.88997555012225
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Ibagué,18,9.62566844919786,4.400977995110025
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Armero,10,5.347593582887701,2.444987775061125
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Rovira,9,4.81283422459893,2.2004889975550124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Espinal,8,4.278074866310161,1.9559902200489
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Honda,5,2.6737967914438503,1.2224938875305624
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Purificación,2,1.0695187165775402,0.4889975550122249
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Valle De San Juan,2,1.0695187165775402,0.4889975550122249
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Piedras,2,1.0695187165775402,0.4889975550122249
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Flandes,2,1.0695187165775402,0.4889975550122249
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Lérida,2,1.0695187165775402,0.4889975550122249
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Coyaima,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Chaparral,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Alpujarra,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Melgar,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Natagaima,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Prado,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Saldaña,1,0.5347593582887701,0.2444987775061124
ANH,B,EPISODIO,DIRECTA,MUNICIPIO,Suárez,1,0.5347593582887701,0.2444987775061124
