agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total,categoria_compuesta
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales,25,13.368983957219251,6.112469437652812,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.1.2.1. Arroz,22,11.764705882352942,5.378973105134475,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios,18,9.62566844919786,4.400977995110025,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.1.4. Bosque de galería y ripario,15,8.02139037433155,3.667481662591687,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.2. Arbustal abierto,12,6.4171122994652405,2.93398533007335,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.4.2. Mosaico de pastos y cultivos,10,5.347593582887701,2.444987775061125,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.2.2. Herbazal abierto rocoso,10,5.347593582887701,2.444987775061125,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,"2.4.3. Mosaico de cultivos, pastos y espacios naturales",10,5.347593582887701,2.444987775061125,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.2.3.2. Vegetación secundaria baja,9,4.81283422459893,2.2004889975550124,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.2.3.1. Vegetación secundaria alta,8,4.278074866310161,1.9559902200489,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.1.1.1.  Herbazal denso de tierra firme no arbolado,8,4.278074866310161,1.9559902200489,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados,7,3.7433155080213902,1.7114914425427872,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,1.2.1. Zonas industriales o comerciales,3,1.60427807486631,0.7334963325183375,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,5.1.1. Ríos,3,1.60427807486631,0.7334963325183375,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.1. Arbustal denso,3,1.60427807486631,0.7334963325183375,False
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales; 3.1.4. Bosque de galería y ripario,2,1.0695187165775402,0.4889975550122249,True
ANH,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 2.4.4. Mosaico de pastos con espacios naturales,2,1.0695187165775402,0.4889975550122249,True
ANH,B,EPISODIO,DIRECTA,COBERTURA,1.2.1. Zonas industriales o comerciales; 3.1.4. Bosque de galería y ripario,1,0.5347593582887701,0.2444987775061124,True
ANH,B,EPISODIO,DIRECTA,COBERTURA,1.1.1. Tejido urbano continuo; 2.1.2.1. Arroz; 3.1.4. Bosque de galería y ripario,1,0.5347593582887701,0.2444987775061124,True
