source_uid,sector_nombre,operadores,proyecto_resumido,episodios,hotspots,num_act,fecha_act,descripciones,contratos,n_geometrias
LAM2537,Hidrocarburos,PETRODORADO SOUTH AMERICA S.A. SUCURSAL COLOMBIA,Bloque exploratorio Buganviles/Bugaviles y prospectos 01–08,54,251,164,2004-02-13 00:00:00,,,9
LAM4750,Hidrocarburos,PACIFIC STRATUS ENERGY COLOMBIA CORP,Bloque de desarrollo Buganviles,33,101,1241,2010-06-30 00:00:00,,,1
LAM3796,Hidrocarburos,VAROSA ENERGY LTDA,Área de perforación exploratoria Bloque La Pola y subáreas,13,48,1628,2007-09-07 00:00:00,Subárea de Interés 1 | Subárea de Interés 2 | Subárea de Interés 3 | Área de Interés 2 | Área de Proyecto General,,5
LAM0140,Hidrocarburos,HOCOL S.A.,Pozo de desarrollo Quimbaya 3 y 4,12,124,,1899-12-30 00:00:00,POZO DE DESARROLLO QUIMBAYA 3 Y 4 PERFORACION LOCALIZADOS EN EL DEPARTAMENTO DE TOLIMA,DOIMA | QUIMBAYA | TOLDADO | VSM 4,4
LAM2344,Hidrocarburos,ECOPETROL S.A.,"PMA de los campos Ortega–Pacandé, Quimbaya, Toldado y Toy",12,124,705,2001-07-30 00:00:00,,,4
LAM3176,Hidrocarburos,GRAN TIERRA ENERGY COLOMBIA LTD.,Áreas de perforación exploratoria Norte y Sur del Bloque Río Magdalena,12,35,581,2005-05-05 00:00:00,,,3
LAM3929,Hidrocarburos,HOCOL S.A.,Área de perforación exploratoria Doima–Ortega,10,69,505,2008-03-28 00:00:00,,,1
LAM2523,Hidrocarburos,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,Área de perforación exploratoria Pijao,8,20,977,2002-10-24 00:00:00,,,1
LAM2082,Hidrocarburos,ECOPETROL S.A.,Áreas de interés de perforación exploratoria Calarma/Calamar,6,25,415,2003-04-09 00:00:00,,,3
LAM2028,Hidrocarburos,KAPPA RESOURCES COLOMBIA LTDA,Licencia ambiental global Campo Abanico y modificación,6,14,665,2001-07-18 00:00:00,,,2
LAM4199,Hidrocarburos,RANCHO HERMOSO S.A.,Bloque exploratorio Sierra,5,17,290,2009-02-17 00:00:00,,,1
LAV0009-00-2021,Hidrocarburos,TELPICO COLOMBIA LLC,Área de perforación exploratoria VSM3,5,16,1620,2021-09-13 00:00:00,AREA DE PERFORACIÓN EXPLORATORIA,VSM3,1
