source_uid,episodios,hotspots,operadores,proyectos,num_act,fecha_act,descripciones,contratos,sectores,n_geometrias,area_ha_suma,sector_nombre,proyecto_resumido
LAM2537,54,251,PETRODORADO SOUTH AMERICA S.A. SUCURSAL COLOMBIA,"BLOQUE EXPLORATORIO BUGANVILES | BLOQUE EXPLORATORIO BUGANVILES ""PROSPECTO 01"" | BLOQUE EXPLORATORIO BUGANVILES ""PROSPECTO 02"" | BLOQUE EXPLORATORIO BUGAVILES ""PROSPECTO 03"" | BLOQUE EXPLORATORIO BUGAVILES ""PROSPECTO 04"" | BLOQUE EXPLORATORIO BUGAVILES ""PROSPECTO 05"" | BLOQUE EXPLORATORIO BUGAVILES ""PROSPECTO 06"" | BLOQUE EXPLORATORIO BUGAVILES ""PROSPECTO 07"" | BLOQUE EXPLORATORIO BUGAVILES ""PROSPECTO 08""",164,2004-02-13 00:00:00,,,101.0,9,62021.66749124137,Hidrocarburos,Bloque exploratorio Buganviles/Bugaviles y prospectos 01–08
LAM4750,33,101,PACIFIC STRATUS ENERGY COLOMBIA CORP,BLOQUE DE DESARROLLO BUGANVILES,1241,2010-06-30 00:00:00,,,101.0,1,29852.59687239725,Hidrocarburos,Bloque de desarrollo Buganviles
LAM3796,13,48,VAROSA ENERGY LTDA,AREA DE PERFORACION EXPLORATORIA BLOQUE LA POLA | ÁREA DE PERFORACIÓN EXPLORATORIA BLOQUE LA POLA,1628,2007-09-07 00:00:00,Subárea de Interés 1 | Subárea de Interés 2 | Subárea de Interés 3 | Área de Interés 2 | Área de Proyecto General,,101.0,5,18600.203782939934,Hidrocarburos,Área de perforación exploratoria Bloque La Pola y subáreas
LAM0140,12,124,HOCOL S.A.,POZO DE DESARROLLO QUIMBAYA 3 Y 4,,1899-12-30 00:00:00,POZO DE DESARROLLO QUIMBAYA 3 Y 4 PERFORACION LOCALIZADOS EN EL DEPARTAMENTO DE TOLIMA,DOIMA | QUIMBAYA | TOLDADO | VSM 4,101.0,4,13039.974605500265,Hidrocarburos,Pozo de desarrollo Quimbaya 3 y 4
LAM2344,12,124,ECOPETROL S.A.,ESTABLECIENTO DEL PLAN DE MANEJO AMBIENTAL PARA EL CAMPO ORTEGA Y PACANDE | ESTABLECIENTO DEL PLAN DE MANEJO AMBIENTAL PARA EL CAMPO QUIMBAYA | ESTABLECIENTO DEL PLAN DE MANEJO AMBIENTAL PARA EL CAMPO TOLDADO | ESTABLECIENTO DEL PLAN DE MANEJO AMBIENTAL PARA EL CAMPO TOY,705,2001-07-30 00:00:00,,,101.0,4,13039.974622099568,Hidrocarburos,"PMA de los campos Ortega–Pacandé, Quimbaya, Toldado y Toy"
LAM3176,12,35,GRAN TIERRA ENERGY COLOMBIA LTD.,AREAS DE PERFORACION EXPLORATORIA NORTE Y SUR DEL BLOQUE RIO MAGDALENA,581,2005-05-05 00:00:00,,,101.0,3,59737.4094552857,Hidrocarburos,Áreas de perforación exploratoria Norte y Sur del Bloque Río Magdalena
LAM3929,10,69,HOCOL S.A.,AREA DE PERFORACION EXPLORATORIA DOIMA-ORTEGA,505,2008-03-28 00:00:00,,,101.0,1,9732.518416867948,Hidrocarburos,Área de perforación exploratoria Doima–Ortega
LAM2523,8,20,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AREA DE PERFORACION EXPLORATORIA PIJAO,977,2002-10-24 00:00:00,,,101.0,1,34006.109270767854,Hidrocarburos,Área de perforación exploratoria Pijao
LAM2082,6,25,ECOPETROL S.A.,"AREA DE INTERES DE PERFORACION EXPLORATORIA CALAMAR | AREA DE INTERES DE PERFORACION EXPLORATORIA CALARMA ""AREA DE INTERES NORTE"" | AREA DE INTERES DE PERFORACION EXPLORATORIA CALARMA ""AREA DE INTERES SUR""",415,2003-04-09 00:00:00,,,101.0,3,4147.309332744615,Hidrocarburos,Áreas de interés de perforación exploratoria Calarma/Calamar
LAM2028,6,14,KAPPA RESOURCES COLOMBIA LTDA,LICENCIA AMBIENTAL GLOBAL CAMPO ABANICO | MODIFICACION LICENCIA AMBIENTAL GLOBAL CAMPO ABANICO,665,2001-07-18 00:00:00,,,101.0,2,10492.586637290467,Hidrocarburos,Licencia ambiental global Campo Abanico y modificación
LAM4199,5,17,RANCHO HERMOSO S.A.,BLOQUE EXPLORATORIO SIERRA,290,2009-02-17 00:00:00,,,101.0,1,13404.937183876566,Hidrocarburos,Bloque exploratorio Sierra
LAV0009-00-2021,5,16,TELPICO COLOMBIA LLC,ÁREA DE PERFORACIÓN EXPLORATORIA VSM3,1620,2021-09-13 00:00:00,AREA DE PERFORACIÓN EXPLORATORIA,VSM3,101.0,1,23282.181152736877,Hidrocarburos,Área de perforación exploratoria VSM3
LAM3457,5,13,REPSOL EXPLORACIÓN COLOMBIA S.A.,AREA DE PERFORACION EXPLORATORIA EN EL SECTOR ESTE DEL BLOQUE EL QUESO,1324,2006-07-07 00:00:00,,,101.0,1,13775.040857410211,Hidrocarburos,"Área de perforación exploratoria, sector este del Bloque El Queso"
LAM2694,3,13,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,ÁREA DE PERFORACIÓN EXPLORATORIA AMANECER,986,2002-10-24 19:00:00,Área Autorizada,,101.0,1,3871.8535013703295,Hidrocarburos,Área de perforación exploratoria Amanecer
LAM0108,3,6,LAS QUINCHAS RESOURCE CORP,PERFORACIÓN POZOS EXPLORATORIOS  GUASIMO 1 Y YARUMO 2,197,1994-07-21 00:00:00,PMA Guasimo,GUASIMO,101.0,1,8977.657344771902,Hidrocarburos,Perforación de pozos exploratorios Guasimo/Yarumo
LAM1499,2,12,CEMEX COLOMBIA S.A.,Explotación de la mina de calizas en Payandé - La Esmeralda | PLAN DE MANEJO AMBIENTAL PARA LA EXPLOTACIÓN DE CALIZAS EN PAYANDÉ,367 | 855,2003-03-31 00:00:00 | 2017-07-24 00:00:00,,,103.0,5,252.70669751132496,Minería,PMA y explotación de calizas en Payandé–La Esmeralda
LAM3620,2,6,OCCIDENTAL ANDINA LLC,AREA DE PERFORACION EXPLORATORIA CASCABEL | AREA DE PERFORACION EXPLORATORIA CASCABEL AI GLADIADOR | AREA DE PERFORACION EXPLORATORIA CASCABEL AI TIJERAS,516,2007-03-23 00:00:00,,,101.0,3,16221.356110374105,Hidrocarburos,AREA DE PERFORACION EXPLORATORIA CASCABEL | AREA DE PERFORACION EXPLORATORIA CASCABEL AI GLADIADOR | AREA DE PERFORACION EXPLORATORIA CASCABEL AI TIJERAS
LAM4163,2,5,HOCOL S.A.,AREA DE PRODUCCION DON PEDRO,144,2009-01-29 00:00:00,,,101.0,1,360.84588622503287,Hidrocarburos,AREA DE PRODUCCION DON PEDRO
LAM3432,2,4,KAPPA RESOURCES COLOMBIA LTDA,AREA DE PERFORACION EXPLORATORIA GUASIMO,2169,2006-11-07 00:00:00,,,101.0,1,8608.391500760416,Hidrocarburos,AREA DE PERFORACION EXPLORATORIA GUASIMO
LAM4065,2,4,KAPPA RESOURCES COLOMBIA LTDA,AREA DE PERFORACION EXPLORATORIA SANTANA - BLOQUE ABANICO,1126,2008-06-26 00:00:00,,,101.0,1,1447.8097980062787,Hidrocarburos,AREA DE PERFORACION EXPLORATORIA SANTANA - BLOQUE ABANICO
LAM4746,2,4,ECOPETROL S.A.,DESARROLLO DE LA EXPLOTACIÓN PETROLERA EN EL BLOQUE SAN LUIS,51,2011-01-19 00:00:00,"Desarrollo de la Explotación Petrolera en el Bloque San Luis, localizado en jurisdicción del municipio de San Luis en el departamento del Tolima, ocupando un área de 3.174 Ha.",,101.0,1,3172.640251298461,Hidrocarburos,DESARROLLO DE LA EXPLOTACIÓN PETROLERA EN EL BLOQUE SAN LUIS
LAM3862,2,3,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,AREA DE INTERES PARAISO-1 | AREA DE PERFORACION EXPLORATORIA BLOQUE PARAISO,1799,2007-10-08 00:00:00,,,101.0,5,8396.115806283671,Hidrocarburos,AREA DE INTERES PARAISO-1 | AREA DE PERFORACION EXPLORATORIA BLOQUE PARAISO
LAM4944,2,3,HOCOL S.A.,ÁREA DE PERFORACIÓN EXPLORATORIA VSM-10,788,2011-05-02 00:00:00,,,101.0,1,4559.538983429982,Hidrocarburos,ÁREA DE PERFORACIÓN EXPLORATORIA VSM-10
LAM3839,2,2,PETROSOUTH ENERGY CORPORATION SUCURSAL COLOMBIA,AREA DE PERFORACION EXPLORATORIA TALORA OCCIDENTAL,1817,2008-10-17 00:00:00,,,101.0,1,14470.022352559772,Hidrocarburos,AREA DE PERFORACION EXPLORATORIA TALORA OCCIDENTAL
LAV0067-00-2022,2,2,HOCOL S.A.,ÁREA DE PERFORACIÓN EXPLORATORIA COR-9,1410,2023-07-03 00:00:00,APE COR 9,333 de 3 de julio 2019,101.0,1,12306.63046050576,Hidrocarburos,ÁREA DE PERFORACIÓN EXPLORATORIA COR-9
LAM0203,1,3,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,BLOQUE PULÍ C | CAMPO DESARROLLO TOQUI TOQUI,1239 | 174 | 39,1995-01-25 00:00:00 | 2005-11-12 00:00:00 | 2015-02-17 00:00:00,"Bloque Pulí C, no incluye campo toqui toqui dada Cesión | Área de Interés Campo Maná | Área de interés Campo Ambrosia | Área de interés Campo Río Opía",Pulí C E&P,101.0,6,24680.963573145866,Hidrocarburos,BLOQUE PULÍ C | CAMPO DESARROLLO TOQUI TOQUI
LAM3864,1,3,ECOPETROL S.A.,AREA DE INTERES EXPLORATORIA PECHUI | AREA DE MAYOR INTERES ARALIA,1800,2007-10-08 00:00:00,,,101.0,2,13662.667155808995,Hidrocarburos,AREA DE INTERES EXPLORATORIA PECHUI | AREA DE MAYOR INTERES ARALIA
LAM5192,1,3,PACIFIC STRATUS ENERGY COLOMBIA CORP,ÁREA DE EXPLOTACIÓN DEL BLOQUE GUÁSIMO,441,2012-05-28 00:00:00,,,101.0,1,2511.5930019030284,Hidrocarburos,ÁREA DE EXPLOTACIÓN DEL BLOQUE GUÁSIMO
LAM2932,1,1,VETRA EXPLORACIÓN Y PRODUCCIÓN COLOMBIA S.A.S,CAMPO PAUTA1 | LICENCIA AMBIENTAL CAMPO PAUTA Y BLOQUE CHAPARRAL.,63,1993-01-22 00:00:00,Área de proyecto del campo Pauta,,101.0,2,11309.117458146791,Hidrocarburos,CAMPO PAUTA1 | LICENCIA AMBIENTAL CAMPO PAUTA Y BLOQUE CHAPARRAL.
