operador,episodios,expedientes,hotspots
PETRODORADO SOUTH AMERICA S.A. SUCURSAL COLOMBIA,54,1,251
PACIFIC STRATUS ENERGY COLOMBIA CORP,34,2,104
HOCOL S.A.,25,5,200
ECOPETROL S.A.,21,4,156
VAROSA ENERGY LTDA,13,1,48
INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,12,4,36
GRAN TIERRA ENERGY COLOMBIA LTD.,12,1,35
KAPPA RESOURCES COLOMBIA LTDA,10,3,22
RANCHO HERMOSO S.A.,5,1,17
REPSOL EXPLORACIÓN COLOMBIA S.A.,5,1,13
TELPICO COLOMBIA LLC,5,1,16
LAS QUINCHAS RESOURCE CORP,3,1,6
CEMEX COLOMBIA S.A.,2,1,12
OCCIDENTAL ANDINA LLC,2,1,6
PETROSOUTH ENERGY CORPORATION SUCURSAL COLOMBIA,2,1,2
VETRA EXPLORACIÓN Y PRODUCCIÓN COLOMBIA S.A.S,1,1,1
