agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,San Luis,25,17.482517482517483,6.112469437652812
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Ortega,25,17.482517482517483,6.112469437652812
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Coello,22,15.384615384615383,5.378973105134475
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Armero,12,8.391608391608392,2.93398533007335
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Espinal,9,6.293706293706293,2.2004889975550124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Guamo,9,6.293706293706293,2.2004889975550124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Venadillo,5,3.4965034965034967,1.2224938875305624
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Chaparral,5,3.4965034965034967,1.2224938875305624
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Ambalema,5,3.4965034965034967,1.2224938875305624
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Lérida,4,2.797202797202797,0.9779951100244498
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Melgar,4,2.797202797202797,0.9779951100244498
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Ibagué,3,2.097902097902098,0.7334963325183375
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Alvarado,2,1.3986013986013983,0.4889975550122249
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Piedras,2,1.3986013986013983,0.4889975550122249
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Ataco,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Carmen De Apicalá,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Flandes,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Rovira,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Purificación,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Saldaña,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,MUNICIPIO,Suárez,1,0.6993006993006993,0.2444987775061124
