agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.1.2.1. Arroz,22,15.384615384615383,5.378973105134475
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales,17,11.888111888111888,4.156479217603912
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios,15,10.48951048951049,3.667481662591687
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.2. Arbustal abierto,13,9.090909090909092,3.1784841075794623
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.2.2. Herbazal abierto rocoso,9,6.293706293706293,2.2004889975550124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.3.1. Vegetación secundaria alta,9,6.293706293706293,2.2004889975550124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.4.2. Mosaico de pastos y cultivos,7,4.895104895104895,1.7114914425427872
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.1.4. Bosque de galería y ripario,7,4.895104895104895,1.7114914425427872
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados,6,4.195804195804196,1.466992665036675
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.1. Arbustal denso,6,4.195804195804196,1.466992665036675
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.3.2. Vegetación secundaria baja,5,3.4965034965034967,1.2224938875305624
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.1.1.1.  Herbazal denso de tierra firme no arbolado,4,2.797202797202797,0.9779951100244498
ANLA,B,EPISODIO,DIRECTA,COBERTURA,"2.4.3. Mosaico de cultivos, pastos y espacios naturales",4,2.797202797202797,0.9779951100244498
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales; 3.1.4. Bosque de galería y ripario,2,1.3986013986013983,0.4889975550122249
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.1.2.1. Arroz; 5.1.1. Ríos,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 3.2.3.2. Vegetación secundaria baja,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 3.2.3.1. Vegetación secundaria alta,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 3.2.2.1. Arbustal denso,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 3.1.4. Bosque de galería y ripario; 5.1.1. Ríos,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,"2.3.1. Pastos limpios; 2.4.3. Mosaico de cultivos, pastos y espacios naturales; 3.2.1.2.2. Herbazal abierto rocoso",1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 2.4.4. Mosaico de pastos con espacios naturales,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.2.3.1. Otros cultivos permanentes arbóreos,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 2.3.2. Pastos arbolados,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,1.1.1. Tejido urbano continuo,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.1.2.1. Arroz; 2.3.1. Pastos limpios,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.4.2. Mosaico de pastos y cultivos; 3.2.3.2. Vegetación secundaria baja,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales; 3.2.1.2.2. Herbazal abierto rocoso; 3.2.3.2. Vegetación secundaria baja,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.1.1.3.  Herbazal denso de tierra firme con arbustos,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.1. Arbustal denso; 5.1.1. Ríos,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,3.3.3. Tierras desnudas y degradadas,1,0.6993006993006993,0.2444987775061124
ANLA,B,EPISODIO,DIRECTA,COBERTURA,5.1.1. Ríos,1,0.6993006993006993,0.2444987775061124
