source_uid,source_name,episodios_hasta_5km,distancia_min_m,relaciones,tipo_geometria
LAM0081,"Sistema de Transporte de Hidrocarburos ""Toldado - Gualanday""",43,35.207670545854555,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0022,OLEODUCTO DEL VALLE DEL MAGDALENA TENAY VASCONIA COVEÑAS,39,88.37563072690925,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0138,GASODUCTO MONTAÑUELO - GUALANDAY,35,104.3788352387478,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0069,OPERACIÓN Y MANTENIMIENTO DEL GASODUCTO CENTRO ORIENTE,31,24.36663843493313,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM2432,"Oleoducto Melgar- Chicoral, Gasoducto Flandes - Guando y Acueducto Río Magdalena - Guando",23,51.21158425470026,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0170,POLIDUCTO GUALANDAY NATAGAIMA (CRUCE RIO SALDAÑA),17,54.73195965662927,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM1973,"SISTEMA GASODUCTO BUENOS AIRES-IBAGUÉ, VARIANTE TRAMO 2",12,692.2776143408635,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM1818,Troncal Gasoducto Chicoral-Espinal-Flandes,6,100.12860974878146,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM3717,GASODUCTO ÁREA ORTEGA SALDAÑA,4,911.4573513429848,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0674,"CONSTRUCCIÓN VARIANTE POLIDUCTO SALGAR – MARIQUITA Y POLIDUCTO DE CALDAS, SALGAR CARTAGO",3,123.93302114180976,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0299,GASODUCTO DE OCCIDENTE Y 47 RAMALES DE DISTRIBUCION MARIQUITA Y CALI,2,498.3550228661552,PROXIMA_1A5KM | PROXIMA_1KM,Línea
LAM0457,LINEAS DE FLUJO VENGANZA 1-REVANCHA 1-PPF,2,3029.276289021856,PROXIMA_1A5KM,Línea
LAM0966,POZO PRODUCTOR DE GAS MONTAÑUELO 1,24,193.7548832583246,PROXIMA_1A5KM | PROXIMA_1KM,Punto
LAM3842,REACTIVACIÓN DE CUATRO POZOS EN EL BLOQUE LA POLA,10,651.4571686784694,PROXIMA_1A5KM | PROXIMA_1KM,Punto
LAM3387,PERFORACIÓN POZO DON PEDRO,8,140.45666318188478,PROXIMA_1A5KM | PROXIMA_1KM,Punto
LAM1950,BLOQUE DE PERFORACIÓN EXPLORATORIA TOPACIO Y ESTABLECIMIENTO DE PMA PROSPECTO TOPACIO 1.,6,1861.031615786492,PROXIMA_1A5KM,Punto
LAM0140,POZO DE DESARROLLO QUIMBAYA 3 Y 4,5,294.8265107608696,PROXIMA_1A5KM | PROXIMA_1KM,Punto
LAM1807,"BLOQUE ARMERO DEMÁS DE LOS POZOS EXPLORATORIOS TOTARÉ 8, 9 Y 10 ENTRE ALVARADO Y VENADILLO.",4,1551.7758492599598,PROXIMA_1A5KM,Punto
LAM2523,ÁREA DE PERFORACIÓN EXPLORATORIA PIJAO,2,507.3228309539956,PROXIMA_1A5KM | PROXIMA_1KM,Punto
LAM3432,BLOQUE GUASIMO,2,1740.8999698223906,PROXIMA_1A5KM,Punto
LAM0108,PERFORACION DE POZOS EXPLORATORIOS YARUMO 1,1,2040.2869795148936,PROXIMA_1A5KM,Punto
LAM3620,ÁREA DE PERFORACIÓN EXPLORATORIA CASCABEL,1,3785.720067238024,PROXIMA_1A5KM,Punto
