tipo,source_uid,titular,estado,etapa,clasificacion_mineria,modalidad,municipios,minerales,episodios,hotspots,area_ha
Título,FDN-111,PRYSER S.A,Activo,Explotación,Mediana,CONTRATO DE CONCESIÓN (D 2655),COELLO,"ARCILLA COMUN (ARCILLA CERAMICA), ARCILLA FERRUGINOSA, ARCILLA MISCELANEA, ARCILLAS CAOLINITICAS, ARCILLAS REFRACTARIAS, ARENAS, GRAVAS, RECEBO",3,4,249.13379810434037
Título,4205,CEMEX COLOMBIA S.A.,Activo,Explotación,Grande,CONTRATO DE CONCESIÓN (L 685),SAN LUIS,ROCA O PIEDRA CALIZA,2,12,241.0931581246668
Título,ED3-142,SOCIEDAD GREENLAND MINING CORPORATION DE COLOMBIA SAS,Activo,Explotación,Mediana,CONTRATO DE CONCESIÓN (D 2655),"COYAIMA, ORTEGA","ARENAS (DE RIO), DEMAS_CONCESIBLES, GRAVAS (DE RIO)",2,10,1266.684339258379
Título,PI8-10341,"JUAN DIEGO FERNANDEZ ALVAREZ, LEIDY TATIANA CORREDOR MARTINEZ",Activo,Exploración,Mediana,CONTRATO DE CONCESIÓN (L 685),"ATACO, CHAPARRAL","MINERALES DE COBRE Y SUS CONCENTRADOS, MINERALES DE ORO Y SUS CONCENTRADOS, MINERALES DE PLATA Y SUS CONCENTRADOS, MINERALES DE PLATINO (INCLUYE PLATINO, PALADIO, RUTENIO, RODIO, OSMIO) Y SUS CONCENTRADOS",2,10,421.5373422203502
Título,IHT-10541,ROVIRA MINING LIMITED COLOMBIA S.A.S.,Activo,Explotación,Mediana,CONTRATO DE CONCESIÓN (L 685),"ROVIRA, VALLE DE SAN JUAN","DEMAS_CONCESIBLES, MINERAL DE COBRE, MINERAL DE ORO, MINERAL DE PLATA, MINERAL DE PLOMO, MINERAL DE ZINC",2,7,579.0534950907538
Título,15933,LUZ MARINA RUBIANO PARRA,Activo,Explotación,Mediana,CONTRATO DE CONCESIÓN (L 685),"COELLO, ESPINAL","ARENAS, GRAVAS",2,3,858.5626185302212
Título,HAR-081,"LEONARDO PRECIADO LUGO, compañia minera el guamo",Activo,Explotación,Pequeña,CONTRATO DE CONCESIÓN (L 685),"GUAMO, SAN LUIS","ANTRACITA, ARENAS, CARBÓN METALÚRGICO, CARBÓN TÉRMICO",2,3,55.61950181304434
Título,0673-73,"EDGAR RICARDO VALENCIA FANDIÑO, ERNESTO JAMES LEAL PEÑA, SECAM JR EU",Activo,Explotación,Mediana,CONTRATO DE CONCESIÓN (D 2655),"GUAMO, SAN LUIS","ARENAS, GRAVAS",2,2,140.1895564592195
Solicitud,506540,GREEN ROCK GEOLOGICAL SERVICES SAS,Solicitud en evaluación,,Mediana,CONTRATO DE CONCESIÓN (L 685),"ORTEGA, ROVIRA, SAN LUIS, VALLE DE SAN JUAN","MINERALES DE COBRE Y SUS CONCENTRADOS, MINERALES DE MOLIBDENO Y SUS CONCENTRADOS, MINERALES DE ORO Y SUS CONCENTRADOS, MINERALES DE PLATA Y SUS CONCENTRADOS, MINERALES DE PLOMO Y SUS CONCENTRADOS, MINERALES DE ZINC Y SUS CONCENTRADOS",16,45,4622.452479625375
Solicitud,JIT-09551,EL CRUCERO S.O.M.,Solicitud en evaluación,,Mediana,CONTRATO DE CONCESIÓN (L 685),ORTEGA,ROCA FOSFORICA,5,59,3461.1434693620386
Solicitud,511188,GOLIAT S.A.S.,Solicitud en evaluación,,Mediana,CONTRATO DE CONCESIÓN (L 685),"ATACO, CHAPARRAL",CARBÓN,5,7,675.962946997774
Solicitud,KJJ-15041,"FRANCO YESID PEÑA MAJE, GUSTAVO ADOLFO PUERTO MONTEALEGRE, LUIS ARSECIO PLAZAS CUELLAR",Solicitud en evaluación,,Mediana,CONTRATO DE CONCESIÓN (L 685),ORTEGA,MINERALES DE ORO Y SUS CONCENTRADOS,4,45,2087.36435555156
Solicitud,507186,SOCIEDAD DE INVERSIONISTAS Y PROVEEDORES SA,Radicación documentos,,Mediana,CONTRATO DE CONCESIÓN (L 685),ORTEGA,"ARCILLAS, ARENAS, ARENISCAS, GRAVAS, RECEBO",3,19,2891.735177899224
Solicitud,ARE-512028,"Diego Andres Rubio Contreras, JUAN DAVID RIAÑO PATARROYO",Solicitud en evaluación,,Mediana,ÁREA DE RESERVA ESPECIAL,"ORTEGA, ROVIRA, VALLE DE SAN JUAN","CONCENTRADOS MINERALES DE IRIDIO, MINERALES DE ALUMINIO Y SUS CONCENTRADOS, MINERALES DE COBRE Y SUS CONCENTRADOS, MINERALES DE ESTAÑO Y SUS CONCENTRADOS, MINERALES DE HIERRO Y SUS CONCENTRADOS, MINERALES DE NIOBIO, TANTALIO Y SUS CONCENTRADOS, MINERALES DE NIQUEL Y SUS CONCENTRADOS, MINERALES DE ORO Y SUS CONCENTRADOS, MINERALES DE PLATA Y SUS CONCENTRADOS, MINERALES DE PLATINO (INCLUYE PLATINO, PALADIO, RUTENIO, RODIO, OSMIO) Y SUS CONCENTRADOS, MINERALES DE PLOMO Y SUS CONCENTRADOS, MINERALES DE ZINC Y SUS CONCENTRADOS",3,12,871.6835852464612
Solicitud,OG2-094818X,NACIONAL DE MINERALES Y METALES SAS,Solicitud en evaluación,,Mediana,CONTRATO DE CONCESIÓN (L 685),ORTEGA,"MINERALES DE ORO Y SUS CONCENTRADOS, MINERALES DE PLATA Y SUS CONCENTRADOS, MINERALES DE PLATINO (INCLUYE PLATINO, PALADIO, RUTENIO, RODIO, OSMIO) Y SUS CONCENTRADOS",3,9,613.9663894897302
Solicitud,OG2-09144,NACIONAL DE MINERALES Y METALES SAS,Solicitud en evaluación,,Mediana,CONTRATO DE CONCESIÓN (L 685),ORTEGA,"MINERALES DE ORO Y SUS CONCENTRADOS, MINERALES DE PLATA Y SUS CONCENTRADOS, MINERALES DE PLATINO (INCLUYE PLATINO, PALADIO, RUTENIO, RODIO, OSMIO) Y SUS CONCENTRADOS",3,7,2168.7569666703234
