agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Ortega,35,27.55905511811024,8.557457212713937
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Rovira,9,7.086614173228346,2.2004889975550124
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,San Luis,9,7.086614173228346,2.2004889975550124
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Ataco,8,6.299212598425197,1.9559902200489
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Chaparral,7,5.511811023622047,1.7114914425427872
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Coyaima,6,4.724409448818897,1.466992665036675
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Guamo,5,3.937007874015748,1.2224938875305624
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Coello,5,3.937007874015748,1.2224938875305624
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Ibagué,5,3.937007874015748,1.2224938875305624
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Armero,4,3.1496062992125986,0.9779951100244498
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Anzoátegui,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Melgar,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Natagaima,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Lérida,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,MUNICIPIO,Casabianca,2,1.5748031496062993,0.4889975550122249
