agency,scenario,unit,spatial_class,dimension,category,n,pct_within_class,pct_total
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales,23,18.11023622047244,5.623471882640587
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios,15,11.811023622047244,3.667481662591687
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.1.1.1.  Herbazal denso de tierra firme no arbolado,8,6.299212598425197,1.9559902200489
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.1.2.1. Arroz,7,5.511811023622047,1.7114914425427872
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.1.4. Bosque de galería y ripario,7,5.511811023622047,1.7114914425427872
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.3.2. Vegetación secundaria baja,6,4.724409448818897,1.466992665036675
ANM,B,EPISODIO,DIRECTA,COBERTURA,"2.4.3. Mosaico de cultivos, pastos y espacios naturales",6,4.724409448818897,1.466992665036675
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.2. Arbustal abierto,5,3.937007874015748,1.2224938875305624
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.1.1.3.  Herbazal denso de tierra firme con arbustos,5,3.937007874015748,1.2224938875305624
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.1. Arbustal denso,4,3.1496062992125986,0.9779951100244498
ANM,B,EPISODIO,DIRECTA,COBERTURA,5.1.1. Ríos,4,3.1496062992125986,0.9779951100244498
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.4.2. Mosaico de pastos y cultivos,4,3.1496062992125986,0.9779951100244498
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.3.1. Vegetación secundaria alta,4,3.1496062992125986,0.9779951100244498
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.1.2.2. Herbazal abierto rocoso,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 2.4.4. Mosaico de pastos con espacios naturales,3,2.3622047244094486,0.7334963325183375
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.2.2.2. Café,2,1.5748031496062993,0.4889975550122249
ANM,B,EPISODIO,DIRECTA,COBERTURA,1.4.2. Instalaciones recreativas,2,1.5748031496062993,0.4889975550122249
ANM,B,EPISODIO,DIRECTA,COBERTURA,1.1.1. Tejido urbano continuo,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 3.2.3.1. Vegetación secundaria alta,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.2. Pastos arbolados,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 5.1.1. Ríos,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 2.3.2. Pastos arbolados,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,"2.3.1. Pastos limpios; 2.4.3. Mosaico de cultivos, pastos y espacios naturales; 3.2.1.2.2. Herbazal abierto rocoso",1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 2.4.4. Mosaico de pastos con espacios naturales,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.1. Pastos limpios; 3.1.4. Bosque de galería y ripario; 5.1.1. Ríos,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.1.2.1. Arroz; 5.1.1. Ríos,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.3.3. Pastos enmalezados; 3.2.3.2. Vegetación secundaria baja,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.4.4. Mosaico de pastos con espacios naturales; 3.2.1.2.2. Herbazal abierto rocoso; 3.2.3.2. Vegetación secundaria baja,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,2.4.5. Mosaico de cultivos con espacios naturales,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.1.4. Bosque de galería y ripario; 3.2.1.1.1.1.  Herbazal denso de tierra firme no arbolado,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.1.4. Bosque de galería y ripario; 3.2.1.1.1.1.  Herbazal denso de tierra firme no arbolado; 3.2.2.2. Arbustal abierto; 5.1.1. Ríos,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.2.2.2. Arbustal abierto; 3.2.3.2. Vegetación secundaria baja,1,0.7874015748031497,0.2444987775061124
ANM,B,EPISODIO,DIRECTA,COBERTURA,3.3.3. Tierras desnudas y degradadas,1,0.7874015748031497,0.2444987775061124
